age,worker,size,compartment,deposition.fraction
Adult,FALSE,10,bbseq,6.21e-05
Adult,FALSE,0.001,BB1,0.03202
Adult,FALSE,0.003,BB1,0.03202
Adult,FALSE,0.01,BB1,0.02981
Adult,FALSE,0.03,BB1,0.01154
Adult,FALSE,0.1,BB1,0.00529
Adult,FALSE,0.3,BB1,0.003499
Adult,FALSE,1,BB1,0.006796
Adult,FALSE,3,BB1,0.01282
Adult,FALSE,5,BB1,0.01389
Adult,FALSE,10,BB1,0.01173
Adult,FALSE,0.001,BB2,0.03247
Adult,FALSE,0.003,BB2,0.03247
Adult,FALSE,0.01,BB2,0.03023
Adult,FALSE,0.03,BB2,0.0117
Adult,FALSE,0.1,BB2,0.005365
Adult,FALSE,0.3,BB2,0.003533
Adult,FALSE,1,BB2,0.005974
Adult,FALSE,3,BB2,0.007749
Adult,FALSE,5,BB2,0.006455
Adult,FALSE,10,BB2,0.00351
Adult,FALSE,0.001,BBseq,0.0004546
Adult,FALSE,0.003,BBseq,0.0004546
Adult,FALSE,0.01,BBseq,0.0004232
Adult,FALSE,0.03,BBseq,0.0001639
Adult,FALSE,0.1,BBseq,7.511e-05
Adult,FALSE,0.3,BBseq,4.957e-05
Adult,FALSE,1,BBseq,9.002e-05
Adult,FALSE,3,BBseq,0.000145
Adult,FALSE,5,BBseq,0.0001434
Adult,FALSE,10,BBseq,0.0001075
Adult,FALSE,0.001,ET2,0.4445
Adult,FALSE,0.003,ET2,0.4445
Adult,FALSE,0.01,ET2,0.1767
Adult,FALSE,0.03,ET2,0.07105
Adult,FALSE,0.1,ET2,0.03242
Adult,FALSE,0.3,ET2,0.05208
Adult,FALSE,1,ET2,0.1896
Adult,FALSE,3,ET2,0.3478
Adult,FALSE,5,ET2,0.3834
Adult,FALSE,10,ET2,0.3785
Adult,FALSE,0.001,ETseq,0.0002224
Adult,FALSE,0.003,ETseq,0.0002224
Adult,FALSE,0.01,ETseq,8.84e-05
Adult,FALSE,0.03,ETseq,3.555e-05
Adult,FALSE,0.1,ETseq,1.622e-05
Adult,FALSE,0.3,ETseq,2.606e-05
Adult,FALSE,1,ETseq,9.485e-05
Adult,FALSE,3,ETseq,0.000174
Adult,FALSE,5,ETseq,0.0001918
Adult,FALSE,10,ETseq,0.0001894
Adult,FALSE,0.001,ET1,0.4387
Adult,FALSE,0.003,ET1,0.4387
Adult,FALSE,0.01,ET1,0.1546
Adult,FALSE,0.03,ET1,0.06254
Adult,FALSE,0.1,ET1,0.03037
Adult,FALSE,0.3,ET1,0.04696
Adult,FALSE,1,ET1,0.1489
Adult,FALSE,3,ET1,0.2791
Adult,FALSE,5,ET1,0.3193
Adult,FALSE,10,ET1,0.3329
15y,FALSE,0.001,AI1,0.0003471
15y,FALSE,0.003,AI1,0.007605
15y,FALSE,0.01,AI1,0.07593
15y,FALSE,0.03,AI1,0.1396
15y,FALSE,0.1,AI1,0.07911
15y,FALSE,0.3,AI1,0.04101
15y,FALSE,1,AI1,0.03195
15y,FALSE,3,AI1,0.02579
15y,FALSE,5,AI1,0.01871
15y,FALSE,10,AI1,0.008904
15y,FALSE,0.001,AI2,0.0006942
15y,FALSE,0.003,AI2,0.01521
15y,FALSE,0.01,AI2,0.1519
15y,FALSE,0.03,AI2,0.2791
15y,FALSE,0.1,AI2,0.1582
15y,FALSE,0.3,AI2,0.08202
15y,FALSE,1,AI2,0.0639
15y,FALSE,3,AI2,0.05158
15y,FALSE,5,AI2,0.03742
15y,FALSE,10,AI2,0.01781
15y,FALSE,0.001,AI3,0.0001157
15y,FALSE,0.003,AI3,0.002535
15y,FALSE,0.01,AI3,0.02531
15y,FALSE,0.03,AI3,0.04652
15y,FALSE,0.1,AI3,0.02637
15y,FALSE,0.3,AI3,0.01367
15y,FALSE,1,AI3,0.01065
15y,FALSE,3,AI3,0.008596
15y,FALSE,5,AI3,0.006236
15y,FALSE,10,AI3,0.002968
15y,FALSE,0.001,bb1,0.02401
15y,FALSE,0.003,bb1,0.08346
15y,FALSE,0.01,bb1,0.1282
15y,FALSE,0.03,bb1,0.07508
15y,FALSE,0.1,bb1,0.03524
15y,FALSE,0.3,bb1,0.01637
15y,FALSE,1,bb1,0.01014
15y,FALSE,3,bb1,0.01104
15y,FALSE,5,bb1,0.01014
15y,FALSE,10,bb1,0.006772
15y,FALSE,0.001,bb2,0.02435
15y,FALSE,0.003,bb2,0.08465
15y,FALSE,0.01,bb2,0.1301
15y,FALSE,0.03,bb2,0.07615
15y,FALSE,0.1,bb2,0.03574
15y,FALSE,0.3,bb2,0.01659
15y,FALSE,1,bb2,0.009672
15y,FALSE,3,bb2,0.008205
15y,FALSE,5,bb2,0.006325
15y,FALSE,10,bb2,0.003178
15y,FALSE,0.001,bbseq,0.0003409
15y,FALSE,0.003,bbseq,0.001185
15y,FALSE,0.01,bbseq,0.001821
15y,FALSE,0.03,bbseq,0.001066
15y,FALSE,0.1,bbseq,0.0005004
15y,FALSE,0.3,bbseq,0.0002324
15y,FALSE,1,bbseq,0.0001397
15y,FALSE,3,bbseq,0.0001357
15y,FALSE,5,bbseq,0.0001161
15y,FALSE,10,bbseq,7.014e-05
15y,FALSE,0.001,BB1,0.03384
15y,FALSE,0.003,BB1,0.04828
15y,FALSE,0.01,BB1,0.03034
15y,FALSE,0.03,BB1,0.01186
15y,FALSE,0.1,BB1,0.005448
15y,FALSE,0.3,BB1,0.003843
15y,FALSE,1,BB1,0.009031
15y,FALSE,3,BB1,0.01857
15y,FALSE,5,BB1,0.02042
15y,FALSE,10,BB1,0.0172
15y,FALSE,0.001,BB2,0.03432
15y,FALSE,0.003,BB2,0.04897
15y,FALSE,0.01,BB2,0.03077
15y,FALSE,0.03,BB2,0.01203
15y,FALSE,0.1,BB2,0.005525
15y,FALSE,0.3,BB2,0.003872
15y,FALSE,1,BB2,0.00774
15y,FALSE,3,BB2,0.01087
15y,FALSE,5,BB2,0.009284
15y,FALSE,10,BB2,0.005182
15y,FALSE,0.001,BBseq,0.0004805
15y,FALSE,0.003,BBseq,0.0006856
15y,FALSE,0.01,BBseq,0.0004308
15y,FALSE,0.03,BBseq,0.0001684
15y,FALSE,0.1,BBseq,7.735e-05
15y,FALSE,0.3,BBseq,5.439e-05
15y,FALSE,1,BBseq,0.0001182
15y,FALSE,3,BBseq,0.0002075
15y,FALSE,5,BBseq,0.0002094
15y,FALSE,10,BBseq,0.0001578
15y,FALSE,0.001,ET2,0.4559
